state,year,quarter,total_transactions,amount_millions
madhya-pradesh,2023,3,978812593,1237822
madhya-pradesh,2023,4,1102294613,1426502.88
madhya-pradesh,2024,1,1286156614,1625420.23
madhya-pradesh,2024,2,1435472057,1779679.95
madhya-pradesh,2024,3,1537738457,1761082.47
madhya-pradesh,2024,4,1685401835,2003305.07
maharashtra,2018,1,16387034,21711.61
maharashtra,2018,2,22285740,36357.06
maharashtra,2018,3,31538538,52260.82
maharashtra,2018,4,46090223,79518.94
maharashtra,2019,1,75079069,111420.69
maharashtra,2019,2,101149853,153294.47
maharashtra,2019,3,148735581,199617.51
maharashtra,2019,4,201260620,272994.43
maharashtra,2020,1,238944081,319995.2
maharashtra,2020,2,184790761,296359.52
maharashtra,2020,3,268310924,440307.08
maharashtra,2020,4,407621004,622155.53
maharashtra,2021,1,517860240,769887.35
maharashtra,2021,2,573616486,915115.06
maharashtra,2021,3,792874060,1159257.31
maharashtra,2021,4,1010731502,1475358.47
maharashtra,2022,1,1169506438,1681399.27
maharashtra,2022,2,1407533113,2006272.38
maharashtra,2022,3,1486389417,1947579.19
maharashtra,2022,4,1688775272,2210470.84
maharashtra,2023,1,1848268499,2362285.91
maharashtra,2023,2,2063717848,2606004.61
maharashtra,2023,3,2290678587,2752172.18
maharashtra,2023,4,2572162725,3098014.93
maharashtra,2024,1,2835770481,3372898.89
maharashtra,2024,2,3063494802,3573189.33
maharashtra,2024,3,3287403995,3687268.66
maharashtra,2024,4,3634231839,4151028.45
manipur,2018,1,84069,128.05
manipur,2018,2,151721,253.21
manipur,2018,3,189258,383.33
manipur,2018,4,236110,605.68
manipur,2019,1,265409,659.9
manipur,2019,2,257425,722.79
manipur,2019,3,345008,863.55
manipur,2019,4,449344,1200.9
manipur,2020,1,818801,2598.59
manipur,2020,2,1083068,3198.94
manipur,2020,3,1420168,4615.98
manipur,2020,4,1627852,5602.22
manipur,2021,1,2303535,7070.29
manipur,2021,2,3086275,7889.83
manipur,2021,3,3941396,10406.86
manipur,2021,4,4687439,12658.47
manipur,2022,1,5313679,14144.5
manipur,2022,2,6105632,14922.91
manipur,2022,3,6352742,15381.43
manipur,2022,4,6428670,15625.96
manipur,2023,1,3258383,8585.56
manipur,2023,2,1606271,4463.88
manipur,2023,3,865478,3608.29
manipur,2023,4,2113200,6800.33
manipur,2024,1,3845564,9242.97
manipur,2024,2,5063324,10898
manipur,2024,3,5700096,11671.52
manipur,2024,4,5750423,12061.71
meghalaya,2018,1,49571,66.25
meghalaya,2018,2,67857,117
meghalaya,2018,3,110290,209.85
meghalaya,2018,4,161132,337.59
meghalaya,2019,1,208741,399.04
meghalaya,2019,2,232286,492.93
meghalaya,2019,3,306550,612.22
meghalaya,2019,4,365981,742.44
meghalaya,2020,1,502283,1120.13
meghalaya,2020,2,635395,1153.74
meghalaya,2020,3,597579,1237.06
meghalaya,2020,4,754008,1804.24
meghalaya,2021,1,747646,2055.52
meghalaya,2021,2,909594,2193.62
meghalaya,2021,3,1097731,2769
meghalaya,2021,4,1440193,3848.77
meghalaya,2022,1,1674750,4662.34
meghalaya,2022,2,2044649,5281.49
meghalaya,2022,3,4359165,9603.3
meghalaya,2022,4,3932448,8996.54
meghalaya,2023,1,4164705,10084.84
meghalaya,2023,2,5077212,11084.51
meghalaya,2023,3,6029842,11406.63
meghalaya,2023,4,7268384,13873.06
meghalaya,2024,1,8531262,15629.3
meghalaya,2024,2,11089661,16794.61
meghalaya,2024,3,12110124,16292.96
meghalaya,2024,4,14166380,19674.93
mizoram,2018,1,18561,45.23
mizoram,2018,2,27051,83.51
mizoram,2018,3,39316,116.6
