year,quarter,state,total_amount
2020,2,tamil-nadu,100295283280.26729
2020,2,odisha,96750594356.74419
2020,2,gujarat,93147900525.4739
2020,2,haryana,81840877273.00572
2020,2,jharkhand,40396117023.486305
2020,2,punjab,35812998758.86831
2020,2,kerala,32535634745.024586
2020,2,chhattisgarh,32060691468.686096
2020,2,uttarakhand,24123109586.636555
2020,2,assam,19352740857.15439
2020,2,himachal-pradesh,11318651020.74397
2020,2,jammu-&-kashmir,10755769045.815413
2020,2,chandigarh,7264906442.834773
2020,2,manipur,5367717361.199922
2020,2,puducherry,3466746248.3469234
2020,2,goa,3178807364.98691
2020,2,dadra-&-nagar-haveli-&-daman-&-diu,2604752907.7761126
2020,2,arunachal-pradesh,2513938421.5489283
2020,2,tripura,2466045501.8756022
2020,2,sikkim,1904132166.8266237
2020,2,meghalaya,1877932904.2972343
2020,2,nagaland,1831042214.0016682
2020,2,ladakh,1007895592.3103584
2020,2,mizoram,754558673.2663972
2020,2,andaman-&-nicobar-islands,318198829.97500676
2020,2,lakshadweep,33885844.17188879
2020,3,telangana,628854050202.2141
2020,3,karnataka,508067542217.1947
2020,3,andhra-pradesh,469231311192.50476
2020,3,maharashtra,468378658084.72504
2020,3,rajasthan,326545461960.3853
2020,3,delhi,271086467472.49097
2020,3,madhya-pradesh,201673604197.5035
2020,3,uttar-pradesh,190493857206.37967
2020,3,west-bengal,175763633884.97635
2020,3,bihar,159306633001.64548
2020,3,tamil-nadu,147759980098.8184
2020,3,gujarat,126094216526.69516
2020,3,odisha,125925452632.23541
2020,3,haryana,107108311589.25076
2020,3,jharkhand,52051293292.75375
2020,3,punjab,48363896111.46964
2020,3,kerala,47152972499.4666
2020,3,chhattisgarh,41915640210.2163
2020,3,assam,33603476374.88619
2020,3,uttarakhand,32144214400.11404
2020,3,jammu-&-kashmir,15912609873.348501
2020,3,himachal-pradesh,14475887136.844913
2020,3,chandigarh,9474646441.35556
2020,3,manipur,7909190268.753126
2020,3,puducherry,6500532906.473544
2020,3,goa,5137795661.942517
2020,3,arunachal-pradesh,3694537941.3077006
2020,3,dadra-&-nagar-haveli-&-daman-&-diu,3499578229.9987254
2020,3,nagaland,3409238394.5851507
2020,3,tripura,3191080969.205704
2020,3,sikkim,2558397164.955238
2020,3,meghalaya,1891027450.9386454
2020,3,ladakh,1608913023.5836997
2020,3,mizoram,1207844463.6865096
2020,3,andaman-&-nicobar-islands,639843386.0053322
2020,3,lakshadweep,42613666.61731365
2020,4,telangana,761891153372.3413
2020,4,karnataka,666685583189.3643
2020,4,andhra-pradesh,635270705053.387
2020,4,maharashtra,587976271123.5597
2020,4,rajasthan,391436051008.1173
2020,4,delhi,313135250888.5083
2020,4,madhya-pradesh,252724691628.1108
2020,4,uttar-pradesh,245283216708.67673
2020,4,west-bengal,199596145158.04584
2020,4,bihar,194968930760.9255
2020,4,tamil-nadu,189477095530.0474
2020,4,odisha,166915930712.7246
2020,4,gujarat,157575662194.80386
2020,4,haryana,151451157862.2731
2020,4,jharkhand,73559771933.36058
2020,4,chhattisgarh,62125281732.846466
