state,year,quarter,transaction_type,transaction_count,transaction_amount
arunachal-pradesh,2021,4,Others,5901,4862905.885615055
arunachal-pradesh,2022,1,"Peer-to-peer payments",1403584,6670641250.45945
arunachal-pradesh,2022,1,"Merchant payments",720803,917155358.7177179
arunachal-pradesh,2022,1,"Recharge & bill payments",670576,231933129.00412333
arunachal-pradesh,2022,1,"Financial Services",3053,3359625.792926075
arunachal-pradesh,2022,1,Others,6052,5002264.113148138
arunachal-pradesh,2022,2,"Peer-to-peer payments",1751568,7627061474.687715
arunachal-pradesh,2022,2,"Merchant payments",1108353,1255513517.3639429
arunachal-pradesh,2022,2,"Recharge & bill payments",688770,241162643.19480157
arunachal-pradesh,2022,2,"Financial Services",2466,4063469.0998270046
arunachal-pradesh,2022,2,Others,5768,3864269.879579009
arunachal-pradesh,2022,3,"Peer-to-peer payments",1967086,7365427284.274204
arunachal-pradesh,2022,3,"Merchant payments",1316326,1413247143.4889917
arunachal-pradesh,2022,3,"Recharge & bill payments",649322,238448083.80779752
arunachal-pradesh,2022,3,"Financial Services",1997,4763324.776043448
arunachal-pradesh,2022,3,Others,4687,3224948.7015704075
arunachal-pradesh,2022,4,"Peer-to-peer payments",2251135,7768088687.67791
arunachal-pradesh,2022,4,"Merchant payments",1704968,1669602212.9174638
arunachal-pradesh,2022,4,"Recharge & bill payments",669151,239412553.61214688
arunachal-pradesh,2022,4,"Financial Services",2617,3785469.3993366556
arunachal-pradesh,2022,4,Others,4838,4020773.8953960314
arunachal-pradesh,2023,1,"Peer-to-peer payments",3879583,13170741327
arunachal-pradesh,2023,1,"Merchant payments",2922784,2802762028
arunachal-pradesh,2023,1,"Recharge & bill payments",1229475,409663161
arunachal-pradesh,2023,1,"Financial Services",4142,6310412
arunachal-pradesh,2023,1,Others,6841,5101526
arunachal-pradesh,2023,2,"Peer-to-peer payments",4883817,15695323405
arunachal-pradesh,2023,2,"Merchant payments",4091876,3651614280
arunachal-pradesh,2023,2,"Recharge & bill payments",1374689,447452168
arunachal-pradesh,2023,2,"Financial Services",3392,5815474
arunachal-pradesh,2023,2,Others,6714,5493337
arunachal-pradesh,2023,3,"Peer-to-peer payments",5889357,16351752522
arunachal-pradesh,2023,3,"Merchant payments",5451474,4277046551
arunachal-pradesh,2023,3,"Recharge & bill payments",1450780,482412481
arunachal-pradesh,2023,3,"Financial Services",4825,11365670
arunachal-pradesh,2023,3,Others,5997,4813862
arunachal-pradesh,2023,4,"Peer-to-peer payments",6678381,18554712209
arunachal-pradesh,2023,4,"Merchant payments",6435278,5043099494
arunachal-pradesh,2023,4,"Recharge & bill payments",1491471,515181105
